0,SanctuaryName,SanctuaryImage,State,animalSanID:,animalPhone,animalSanEmail:,animalSanAddress,animalWebsite,Facebook,Instagram,Twitter,YouTube,DonationPage,Volunteer,VisitationPage,animalBlog,listAnimal,Event Page,animalAbout:
1,Ironwood Pig Sanctuary (Tuscon),http://www.ironwoodpigs.org/images/logo.gif,Arizona,animal1,520-579-8847,ironwoodpigs@yahoo.com,"34656 E Crystal Visions Rd, Marana, AZ 85658",http://www.ironwoodpigs.org/,https://www.facebook.com/IronwoodPigSanctuary,https://www.instagram.com/IronwoodPigSanctuary,blank,blank,https://www.paypal.com/donate/?token=dFkY_5DHWyz1Lfe_chGIDZ-kx8aft72AemJFJ89pKNkdYWnbG-e7BAj6mWUE9o0G9VRxS0&country.x=US&locale.x=US,http://www.ironwoodpigs.org/volunteer.html,http://www.ironwoodpigs.org/outreach.html,blank,http://www.ironwoodpigs.org/pictures.html,blank,blank
2,WhisperÍs Sanctuary (Sierra Vista),http://www.rrheartranch.com/sitebuilder/images/index.html-3.png,Arizona,animal2,(520) 455-5424,toni@rrheartranch.com,"2160 E. Fry Blvd, #342, Sierra Vista, AZ 85635",http://www.rrheartranch.com/,https://www.facebook.com/WhispersSanctuary/,blank,blank,blank,https://www.paypal.com/webapps/shoppingcart?flowlogging_id=35fc0c69678c7&mfid=1529877150330_35fc0c69678c7#/checkout/openButton,blank,blank,blank,http://www.rrheartranch.com/Horses.html,blank,blank
3,Animal Acres (Acton),https://pbs.twimg.com/profile_images/440957631226580992/Pk-bFWfT_400x400.jpeg,California,animal3,607-583-2225 ex. 221,info@farmsanctuary.org,"5200 Escondido Canyon Road, Acton, CA 93510",https://www.farmsanctuary.org/the-sanctuaries/los-angeles-ca/,https://www.facebook.com/farmsanctuary,https://www.instagram.com/farmsanctuary/,https://twitter.com/farmsanctuary,https://www.youtube.com/user/farmsanctuary1,blank,https://www.farmsanctuary.org/get-involved/jobs-intern-volunteer/volunteer/southern-california-volunteer-opportunities/,https://www.farmsanctuary.org/the-sanctuaries/los-angeles-ca/tours/,blank,blank,https://www.farmsanctuary.org/events/,blank
4,Animal Place Rescue Ranch (Vacaville),http://animalplace.org/wp-content/uploads/2016/11/Whitelogo.png,California,animal4,(530) 477-1757,info@animalplace.org,"17314 McCourtney Road, Grass Valley, CA 95949",http://animalplace.org/,https://www.facebook.com/animalplace/,http://instagram.com/_animalplace,blank,blank,blank,blank,blank,blank,blank,blank,blank
5,Animal Place Sanctuary (Grass Valley),http://animalplace.org/wp-content/uploads/2016/11/Whitelogo.png,California,animal5,(530) 477-1757,info@animalplace.org,"17314 McCourtney Road, Grass Valley, CA 95949",http://animalplace.org/,https://www.facebook.com/animalplace,http://instagram.com/_animalplace,blank,https://www.youtube.com/user/AnimalPlace,https://donate.animalplace.org/give/162005/#!/donation/checkout,blank,blank,blank,blank,blank,blank
6,"Farm Sanctuary (Orland, Northern California)",https://pbs.twimg.com/profile_images/440957631226580992/Pk-bFWfT_400x400.jpeg,California,animal6,607-583-2225 ex. 221,info@farmsanctuary.org,"5200 Escondido Canyon Road, Acton, CA 93510",http://www.farmsanctuary.org/the-sanctuaries/orland-ca/tours/,https://www.facebook.com/farmsanctuary,https://www.instagram.com/farmsanctuary/,https://twitter.com/farmsanctuary,https://www.youtube.com/user/farmsanctuary1,blank,blank,blank,blank,https://www.farmsanctuary.org/the-sanctuaries/rescued-animals/2018-rescues/,blank,blank
7,Happy Hen Chicken Rescue (San Luis Obispo),"https://static.wixstatic.com/media/8aa558_035b2b01333749c883114a55096e8fde~mv2.jpg/v1/crop/x_0,y_54,w_854,h_749/fill/w_204,h_179,al_c,q_80,usm_0.66_1.00_0.01/8aa558_035b2b01333749c883114a55096e8fde~mv2.webp",California,animal7,(805) 458-6102,sherstinr@yahoo.com,"Happy Hen Animal Sanctuary 3940-7 Broad St PMB #215 San Luis Obispo, CA 93401",https://www.happyhen.org/,blank,blank,blank,blank,https://www.happyhen.org/donate-monthly,blank,blank,blank,http://www.flipsidesanctuary.org/the-animals.html,blank,blank
8,Flip Side Sanctuary (Sebastapol),http://www.flipsidesanctuary.org/index.html,California,animal8,blank,info@flipsidesanctuary.org,"Flip Side Sanctuary Roblar rd, 94952 Petaluma, United States",http://flipsidesanctuary.org/,https://www.facebook.com/flipsidesanctuary?fref=ts,https://instagram.com/flip_side_sanctuary/,blank,blank,http://www.flipsidesanctuary.org/donate.html,http://www.flipsidesanctuary.org/volunteer.html,blank,blank,blank,blank,blank
9,Harvest Home Animal Sanctuary (Stockton),http://harvesthomesanctuary.org/wp-content/uploads/2014/05/cropped-main_logo_notext2.jpg,California,animal9,(209) 244-7174,info@harvesthomesanctuary.org,"Harvest Home Animal Sanctuary P.O. Box 998 French Camp, CA 95231",http://harvesthomesanctuary.org/,http://www.facebook.com/harvesthome,blank,https://twitter.com/HarvestHome,http://www.youtube.com/harvesthomeCA,http://harvesthomesanctuary.org/how-you-can-help/,http://harvesthomesanctuary.org/volunteer/,http://harvesthomesanctuary.org/visit-us/,blank,blank,blank,blank
10,PreetiRang Sanctuary (Dixon),http://www.preetirangsanctuary.org/,California,animal10,blank,preetirangsanctuary@gmail.com,"Preetirang Sanctuary, Dixon, CA 95620",http://www.preetirangsanctuary.org/,https://www.facebook.com/Preetirang-Sanctuary-408482672581831/?fref=ts/,https://www.instagram.com/preetirangsanctuary/?hl=en,blank,https://www.youtube.com/user/PreetiRangSanctuary,https://www.paypal.com/donate/?token=_nkIay0KpbJlHcFTu1wkOqQum9bX3EmDPYWpNjzL2ndmf4KoEzQqf2iqhjaZjAlR3Z6d6W&country.x=US&locale.x=,http://www.preetirangsanctuary.org/sponsorship/,http://www.preetirangsanctuary.org/local-information/,http://www.preetirangsanctuary.org/newsblog/,http://www.preetirangsanctuary.org/our-animal-family/,https://www.sweetfarm.org/news/,blank
11,Sweet Farm (Half Moon Bay),https://www.sweetfarm.org/,California,animal11,blank,INFO@SWEETFARM.ORG,"131 Tunitas Creek Road Half Moon Bay, CA 94019",http://sweetfarm.org/,http://www.facebook.com/SweetFarmCA,http://instagram.com/thesweetfarm,https://twitter.com/TheSweetFarm,blank,https://sweetfarm.networkforgood.com/projects/48399-sweet-farm-annual-fund,https://www.sweetfarm.org/volunteer/,https://www.sweetfarm.org/visit/,blank,https://www.sweetfarm.org/animals,blank,blank
12,The Gentle Barn (Santa Clarita),https://www.gentlebarn.org/assets/components/gb/img/logo-gb2017.png,California,animal12,661.252.2440,media@gentlebarn.org,"The Gentle Barn Foundation 15825 Sierra Highway Santa Clarita, CA 91390",http://www.gentlebarn.org/,https://www.facebook.com/TheGentleBarn,https://www.instagram.com/thegentlebarn/,https://twitter.com/gentlebarn,https://www.youtube.com/user/gentlebarn,https://www.gentlebarn.org/donate/,https://www.gentlebarn.org/get-involved/,https://www.gentlebarn.org/california/,https://www.gentlebarn.org/blog/,https://www.gentlebarn.org/animals/,https://www.gentlebarn.org/events/,blank
13,"Luvin Arms Animal Sanctuary, (Lafayette)",https://www.luvinarms.org/wp-content/uploads/2016/03/LA_Heart_Logo_Medium.png,Colorado,animal13,(720) 515-8577,blank,"3470 County Road 7 Erie, CO 80516",http://luvinarms.org/,http://www.facebook.com/luvinarms/,https://www.instagram.com/luvinarms/,blank,blank,https://www.luvinarms.org/donate/,blank,https://www.luvinarms.org/visit/,blank,https://www.luvinarms.org/residents/hens/,https://www.eventbrite.com/o/luvin-arms-volunteering-13773423760,blank
14,"Peaceful Prairie Sanctuary, (Deer Trail)",http://www.peacefulprairie.org/GraphicsNew/homeHeader.jpg,Colorado,animal14,303-769-4997,peacefulprairie@netecin.net,"81503 E. COUNTY RD. 22, DEER TRAIL, CO 80105",http://www.peacefulprairie.org/,https://www.facebook.com/Peaceful-Prairie-Sanctuary-348711124383/,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
15,"Kindred Spirits Sanctuary (Ocala, FL)",http://www.kssfl.org/images/kss.jpg?crc=362379451,Florida,animal15,1-877-3-KINDRED,blank,"12606 N US Hwy 27 Ocala, FL 34482",http://www.kssfl.org/,https://www.facebook.com/pages/Kindred-Spirits-Sanctuary/147658945265146,https://www.instagram.com/kindredspiritssanctuary/,https://twitter.com/FlFarmSanctuary,blank,http://www.kssfl.org/donate.html,http://www.kssfl.org/volunteer.html,http://www.kssfl.org/visit.html,blank,http://www.kssfl.org/resident-stories.html,http://www.kssfl.org/potluck.html,blank
16,"Rooterville (Melrose, Florida)",https://rooterville.org/wp-content/uploads/2016/03/header-logo-4.png?quality=100.3016013118360,Florida,animal16,(386) 661-2287,elaine@rooterville.org,"5579 Darwood Street Melrose, Florida 32666",http://www.rooterville.org/,blank,blank,blank,blank,https://rooterville.org/#FUNOOFYBMJE,blank,blank,blank,blank,blank,blank
17,"Full Circle Farm Sanctuary (Warm Springs, GA)",https://www.fullcirclefarmsanctuary.org/uploads/9/2/4/5/92453914/published/1478649692.png?1495726844,Georgia,animal17,blank,info@fcfsanctuary.org,"961 White House Pkwy Warm Springs, GA 31830",https://www.fullcirclefarmsanctuary.org/,https://www.facebook.com/FullCircleFarmSanctuary/,https://www.instagram.com/fullcirclefarmsanctuary/,https://twitter.com/fullcirclesaves,blank,https://www.fullcirclefarmsanctuary.org/donate.html,https://www.fullcirclefarmsanctuary.org/volunteer1.html,blank,blank,blank,https://www.fullcirclefarmsanctuary.org/events-375834.html,blank
